frequency_hz,zin_mag_ohm,x_mm,spl_total_db,spl_mouth_db
30,,,, 
35,,,, 
40,,,, 
50,,,, 
60,,,, 
80,,,, 
100,,,, 
150,,,, 
200,,,, 
300,,,, 
